alias,char_id,updated_at,internal,card_type
ramiel,1272,1641242244658,,character
inoha,3118,1641100364897,1,character
尾白アラン,1386,1641100364435,1,character
amitie ver. puyotet2,1377,1641100363483,1,character
alan ojiro,1386,1641100364431,1,character
arle ver. puyotet2,2376,1641100381697,1,character
red herb,1072,1641100361877,1,material
albert/materials,1072,1641100361881,1,material
赤の薬草,1072,1641100361885,1,material
バルバルフェーリ,5290,1660411074456,1,character
abyss ver. hn,5074,1641242244668,,character
albert,1072,1641100361930,1,character
アルベルト,1072,1641100361934,1,character
amitie ver. mukku,1201,1641100362210,1,character
アミティ ver.ムック,1201,1641100362214,1,character
amitie ver. witch apprentice,1339,1641100364932,1,character
アルル ver.ぷよクロ,2214,1641100381678,1,character
arle ver. puyochron,2214,1641100381673,1,character
6th angel/red,1272,1641100362529,1,character
arle ver. puyotet,2036,1641100381686,1,character
アルル ver.ぷよテト2,2376,1641100381701,1,character
big steak,1339,1641100362610,1,material
amitie ver. witch apprentice/materials,1339,1641100362614,1,material
ビッグなステーキ,1339,1641100362618,1,material
amitie ver. puyochron,1215,1641100362566,1,character
アミティ ver.ぷよクロ,1215,1641100362569,1,character
amitie ver. puyotet,1230,1641100367877,1,character
ハーピー ver.ぷよクロ,3217,1641100362891,1,character
アミティ ver.ぷよテト2,1377,1641100363487,1,character
イノハ,3118,1641100364901,1,character
アミティ ver.魔女見習い,1339,1641100364936,1,character
アルル ver.ぷよテト,2036,1641100381690,1,character
アミティ ver.ぷよテト,1230,1641100367881,1,character
6th angel,5272,1641100424062,1,character
第6使徒,5272,1641100424072,1,character
chibiusa ver. opposite orb,1400,1641100363191,1,character
aparle,2322,1641242244675,,character
アルル (フィーバー),2190,1648828445777,1,character
arle (fever),2190,1648828445776,1,character
amitie ver. cure dream,1408,1678017840530,1,character
アミティ ver.キュアドリーム,1408,1678017840531,1,character
amitie ver. puyoangel,1269,1663350208675,1,character
アミティ ver.ぷよ使徒,1269,1663350208675,1,character
arle ver. puyoeva,2269,1663350208689,1,character
アルル ver.ぷよエヴァ,2269,1663350208689,1,character
balbal feli,5290,1660411074455,1,character
al,1417,1673567847008,1,character
アル,1417,1673567847009,1,character
ゆうすずみのハーピー,3258,1673648252010,1,character
ちびうさ ver.逆玉,1400,1641100363195,1,character
harpy ver. puyochron,3217,1641100362886,1,character
ander,1105,1710443876520,1,character
アミティ ver.パワプロ,1322,1686142804037,1,character
amitie ver. powerpros,1322,1686142804035,1,character
アバリン,1062,1686318641090,1,character
laun,4165,1702488197407,1,character
aqua dragorune,2016,1686318642072,1,character
aqua hamtas,2221,1706695706796,1,character
アルル ver.バトル,2212,1687068118335,1,character
abalin,1062,1686318641085,1,character
annie ver. holy night,1150,1703229916708,1,character
turm,3158,1700940534184,1,character
arle ver. battle,2212,1687068118335,1,character
あおい王冠ぷよ,2501,1708521527734,1,character
lapis lazuli crystal,2164,1707971036369,1,material
alluring lilim,1244,1709078564927,1,character
みわくのリリン,1244,1709078564929,1,character
aidan,1129,1699224299314,1,character
赤い狩人の角笛,1060,1710440875180,1,material
アンデル,1105,1710443876521,1,character
エーダン,1129,1699224299315,1,character
pusler/green,3207,1702029666965,1,character
アルベルト ver.聖夜,1091,1703075683840,1,character
hp pusler,3207,1702029666963,1,character
アニー ver.聖夜,1150,1703229916711,1,character
あおい小ぷよ,2501,1708521527740,1,character
blue incubus,2201,1703471163993,1,character
ally ver. sakura kinomoto,1372,1705667767926,1,character
アリィ ver.木之本桜,1372,1705667767928,1,character
あおい彗星ぷよ,2501,1708521527750,1,character
アルル ver.さくら,2232,1708881702003,1,character
arle ver. sakura,2232,1708881702000,1,character
red hunter's proof,1060,1710440875159,1,material
baldanders,2009,1706438871303,1,character
アミティ,1010,1710180372697,1,character
赤い狩人の証,1060,1710440875161,1,material
アフマル,1068,1710445677368,1,character
red hunter's olifant,1060,1710440875178,1,material
amba/materials,1060,1710440875179,1,material
ahmar,1068,1710445677367,1,character
amba,1060,1710440875151,1,character
アンバ,1060,1710440875152,1,character
アズラク,2068,1710445677461,1,character
azraq,2068,1710445677460,1,character
ashika,2020,1710906528576,1,character
banana ayn,5344,1641242245215,,character
ann takamaki,1280,1641100362974,1,character
高巻杏,1280,1641100362978,1,character
archan,1025,1641100364142,1,character
i,2229,1641242244681,,character
trio the banshee,5025,1641242245226,,character
black kikimora,1226,1641100363900,1,character
congardo,1142,1641100364714,1,character
culprit/red,1239,1641100363315,1,character
dini,1132,1641100365198,1,character
アーちゃん,1025,1641100364146,1,character
くろいキキーモラ,1226,1641100363904,1,character
コンガルド,1142,1641100364718,1,character
ディニ,1132,1641100365201,1,character
blue grimoire,2705,1641100368274,1,character
grimoire/blue,2705,1641100368278,1,character
青の魔導書,2705,1641100368282,1,character
culprit,5239,1641100425862,1,character
犯人,5239,1641100425870,1,character
hokkori gaeru,3042,1641100363522,1,character
ほっこりガエル,3042,1641100363526,1,character
asuka,1267,1641100363710,1,character
アスカ,1267,1641100363719,1,character
asuka ver. plugsuit,1268,1641100363731,1,character
chetta,1125,1673648251181,1,character
チェッタ,1125,1673648251182,1,character
キュアドリーム,1405,1678504492889,1,character
ミルク,5405,1678017239712,1,character
conan edogawa,1237,1659536258559,1,character
探偵団バッジ,1237,1659536258561,1,material
detective boys badge,1237,1659536258527,1,material
small knight mask,5290,1660411074459,1,material
conan edogawa/materials,1237,1659536258555,1,material
heiji hattori,3274,1659536858530,1,character
服部平次,3274,1659536858531,1,character
balbal feli/materials,5290,1660411074460,1,material
ちいさなナイトマスク,5290,1660411074460,1,material
bodamaru,1100,1673567846558,1,character
ボダマル,1100,1673567846559,1,character
cure dream,1405,1678504492889,1,character
アスカ ver.プラグスーツ,1268,1641100363736,1,character
aiko,2337,1641242244760,,character
chainchron hero,4301,1641100409499,1,character
seal of the scales,1112,1641100364391,1,material
ラウン,4165,1702488197409,1,character
ダニエル,1102,1680154341372,1,character
はじけるアミティ,1311,1688301821250,1,character
アザウィア,1165,1694156726732,1,character
reinhard van astrea,1415,1705637763652,1,character
isao kondo,2391,1684815625834,1,character
