card_id,char_id,rarity,rarity_modifier,name,name_normalized,jp_name,jp_name_normalized,link_name,link_name_normalized,card_type,updated_at,main_color,side_color
140806,1408,6,,Amitie ver. Cure Dream,amitie ver. cure dream,アミティ ver.キュアドリーム,アミティ ver.キュアドリーム,Amitie ver. Cure Dream,amitie ver. cure dream,character,1678017840506,Red,
140807,1408,7,,Amitie ver. Cure Dream,amitie ver. cure dream,アミティ ver.キュアドリーム,アミティ ver.キュアドリーム,Amitie ver. Cure Dream,amitie ver. cure dream,character,1678017840531,Red,
118503,1185,3,,Amitie (Fever),amitie (fever),アミティ (フィーバー),アミティ (フィーバー),Amitie (Fever),amitie (fever),character,1641034161384,Red,
141706,1417,6,,Al,al,アル,アル,Al,al,character,1673567847000,Red,
311805,3118,5,,Inoha,inoha,イノハ,イノハ,Inoha,inoha,character,1641035260153,Green,
535307,5353,7,,Sailor Saturn,sailor saturn,セーラーサターン,セーラーサターン,Sailor Saturn,sailor saturn,character,1679771502853,Purple,
111106,1111,6,,Grinos,grinos,グライノス,グライノス,Grinos,grinos,character,1641034224903,Red,
141707,1417,7,,Al,al,アル,アル,Al,al,character,1673567847009,Red,
151806,1072,6,,Red Herb,red herb,赤の薬草,赤の薬草,Albert/Materials/★6,albert/materials,material,1641034159307,Red,
138607,1386,7,,Alan Ojiro,alan ojiro,尾白アラン,尾白アラン,Alan Ojiro,alan ojiro,character,1641034158993,Red,
107204,1072,4,,Albert,albert,アルベルト,アルベルト,Albert,albert,character,1641034159295,Red,
107205,1072,5,,Albert,albert,アルベルト,アルベルト,Albert,albert,character,1641034159299,Red,
107206,1072,6,,Albert,albert,アルベルト,アルベルト,Albert,albert,character,1641034159303,Red,
118504,1185,4,,Amitie (Fever),amitie (fever),アミティ (フィーバー),アミティ (フィーバー),Amitie (Fever),amitie (fever),character,1641034161386,Red,
120105,1201,5,,Amitie ver. Mukku,amitie ver. mukku,アミティ ver.ムック,アミティ ver.ムック,Amitie ver. Mukku,amitie ver. mukku,character,1641034162028,Red,
120106,1201,6,,Amitie ver. Mukku,amitie ver. mukku,アミティ ver.ムック,アミティ ver.ムック,Amitie ver. Mukku,amitie ver. mukku,character,1641034162027,Red,
121505,1215,5,,Amitie ver. PuyoChron,amitie ver. puyochron,アミティ ver.ぷよクロ,アミティ ver.ぷよクロ,Amitie ver. PuyoChron,amitie ver. puyochron,character,1641034162974,Red,
126906,1269,6,,Amitie ver. PuyoAngel,amitie ver. puyoangel,アミティ ver.ぷよ使徒,アミティ ver.ぷよ使徒,Amitie ver. PuyoAngel,amitie ver. puyoangel,character,1663350208676,Red,
311806,3118,6,,Inoha,inoha,イノハ,イノハ,Inoha,inoha,character,1641035260170,Green,
101004,1010,4,,Amitie,amitie,アミティ,アミティ,Amitie,amitie,character,1710180372661,Red,
201204,2012,4,,Arle,arle,アルル,アルル,Arle,arle,character,1699358715942,Blue,
106204,1062,4,,Abalin,abalin,アバリン,アバリン,Abalin,abalin,character,1686318641088,Red,
101002,1010,2,,Amitie,amitie,アミティ,アミティ,Amitie,amitie,character,1710180372624,Red,
152105,1060,5,5,Red Hunter's Proof,red hunter's proof,赤い狩人の証,赤い狩人の証,Amba/Materials/★5,amba/materials,material,1710440875162,Red,
109106,1091,6,,Albert ver. Holy Night,albert ver. holy night,アルベルト ver.聖夜,アルベルト ver.聖夜,Albert ver. Holy Night,albert ver. holy night,character,1703075683767,Red,
101005,1010,5,,Amitie,amitie,アミティ,アミティ,Amitie,amitie,character,1710180372636,Red,
106005,1060,5,,Amba,amba,アンバ,アンバ,Amba,amba,character,1710440875152,Red,
124407,1244,7,,Alluring Lilim,alluring lilim,みわくのリリン,みわくのリリン,Alluring Lilim,alluring lilim,character,1709078564930,Red,
106203,1062,3,,Abalin,abalin,アバリン,アバリン,Abalin,abalin,character,1686318641094,Red,
101003,1010,3,,Amitie,amitie,アミティ,アミティ,Amitie,amitie,character,1710180372698,Red,
112905,1129,5,,Aidan,aidan,エーダン,エーダン,Aidan,aidan,character,1699224299316,Red,
112906,1129,6,,Aidan,aidan,エーダン,エーダン,Aidan,aidan,character,1699224299295,Red,
201207,2012,7,,Arle,arle,アルル,アルル,Arle,arle,character,1699358715891,Blue,
112907,1129,7,,Aidan,aidan,エーダン,エーダン,Aidan,aidan,character,1699224299311,Red,
101006,1010,6,,Amitie,amitie,アミティ,アミティ,Amitie,amitie,character,1710180372681,Red,
109104,1091,4,,Albert ver. Holy Night,albert ver. holy night,アルベルト ver.聖夜,アルベルト ver.聖夜,Albert ver. Holy Night,albert ver. holy night,character,1703075683822,Red,
137206,1372,6,,Ally ver. Sakura Kinomoto,ally ver. sakura kinomoto,アリィ ver.木之本桜,アリィ ver.木之本桜,Ally ver. Sakura Kinomoto,ally ver. sakura kinomoto,character,1705667767928,Red,
124406,1244,6,,Alluring Lilim,alluring lilim,みわくのリリン,みわくのリリン,Alluring Lilim,alluring lilim,character,1709078564917,Red,
101007,1010,7,,Amitie,amitie,アミティ,アミティ,Amitie,amitie,character,1710180372699,Red,
152106,1060,6,6,Red Hunter's Olifant,red hunter's olifant,赤い狩人の角笛,赤い狩人の角笛,Amba/Materials/★6,amba/materials,material,1710440875181,Red,
106004,1060,4,,Amba,amba,アンバ,アンバ,Amba,amba,character,1710440875145,Red,
106805,1068,5,,Ahmar,ahmar,アフマル,アフマル,Ahmar,ahmar,character,1710445677356,Red,
106804,1068,4,,Ahmar,ahmar,アフマル,アフマル,Ahmar,ahmar,character,1710445677364,Red,
106007,1060,7,,Amba,amba,アンバ,アンバ,Amba,amba,character,1710440875129,Red,
106006,1060,6,,Amba,amba,アンバ,アンバ,Amba,amba,character,1710440875153,Red,
106806,1068,6,,Ahmar,ahmar,アフマル,アフマル,Ahmar,ahmar,character,1710445677368,Red,
312707,3127,7,,Rozema,rozema,ローゼマ,ローゼマ,Rozema,rozema,character,1711130352749,Green,
121504,1215,4,,Amitie ver. PuyoChron,amitie ver. puyochron,アミティ ver.ぷよクロ,アミティ ver.ぷよクロ,Amitie ver. PuyoChron,amitie ver. puyochron,character,1641034162972,Red,
203604,2036,4,,Arle ver. PuyoTet,arle ver. puyotet,アルル ver.ぷよテト,アルル ver.ぷよテト,Arle ver. PuyoTet,arle ver. puyotet,character,1641034593154,Blue,
237605,2376,5,,Arle ver. PuyoTet2,arle ver. puyotet2,アルル ver.ぷよテト2,アルル ver.ぷよテト2,Arle ver. PuyoTet2,arle ver. puyotet2,character,1641034593456,Blue,
137707,1377,7,,Amitie ver. PuyoTet2,amitie ver. puyotet2,アミティ ver.ぷよテト2,アミティ ver.ぷよテト2,Amitie ver. PuyoTet2,amitie ver. puyotet2,character,1641034163607,Red,
219005,2190,5,,Arle (Fever),arle (fever),アルル (フィーバー),アルル (フィーバー),Arle (Fever),arle (fever),character,1641034591564,Blue,
155006,1339,6,,Big Steak,big steak,ビッグなステーキ,ビッグなステーキ,Amitie ver. Witch Apprentice/Materials/★6,amitie ver. witch apprentice/materials,material,1641034164253,Red,
121506,1215,6,,Amitie ver. PuyoChron,amitie ver. puyochron,アミティ ver.ぷよクロ,アミティ ver.ぷよクロ,Amitie ver. PuyoChron,amitie ver. puyochron,character,1641034162975,Red,
123005,1230,5,,Amitie ver. PuyoTet,amitie ver. puyotet,アミティ ver.ぷよテト,アミティ ver.ぷよテト,Amitie ver. PuyoTet,amitie ver. puyotet,character,1641034163288,Red,
127205,1272,5,,6th Angel,6th angel,第6使徒,第6使徒,6th Angel/Red/★5,6th angel/red,character,1641034157339,Red,
128006,1280,6,,Ann Takamaki,ann takamaki,高巻杏,高巻杏,Ann Takamaki,ann takamaki,character,1641034165219,Red,
203605,2036,5,,Arle ver. PuyoTet,arle ver. puyotet,アルル ver.ぷよテト,アルル ver.ぷよテト,Arle ver. PuyoTet,arle ver. puyotet,character,1641034593147,Blue,
221406,2214,6,,Arle ver. PuyoChron,arle ver. puyochron,アルル ver.ぷよクロ,アルル ver.ぷよクロ,Arle ver. PuyoChron,arle ver. puyochron,character,1641034592525,Blue,
226906,2269,6,,Arle ver. PuyoEVA,arle ver. puyoeva,アルル ver.ぷよエヴァ,アルル ver.ぷよエヴァ,Arle ver. PuyoEVA,arle ver. puyoeva,character,1663350208690,Blue,
237607,2376,7,,Arle ver. PuyoTet2,arle ver. puyotet2,アルル ver.ぷよテト2,アルル ver.ぷよテト2,Arle ver. PuyoTet2,arle ver. puyotet2,character,1641034593462,Blue,
270506,2705,6,,Blue Grimoire,blue grimoire,青の魔導書,青の魔導書,Grimoire/Blue/★6,grimoire/blue,character,1641034601088,Blue,
321705,3217,5,,Harpy ver. PuyoChron,harpy ver. puyochron,ハーピー ver.ぷよクロ,ハーピー ver.ぷよクロ,Harpy ver. PuyoChron,harpy ver. puyochron,character,1641035257526,Green,
554806,5290,6,6,Small Knight Mask,small knight mask,ちいさなナイトマスク,ちいさなナイトマスク,Balbal Feli/Materials/★6,balbal feli/materials,material,1660411074461,Purple,
