char_id,name,jp_name,main_color,side_color,type1,type2,voice_trans,updated_at,link_name
1386,Alan Ojiro,尾白アラン,Red,,HP,Single,V1386,1641256390490,Alan Ojiro
1072,Albert,アルベルト,Red,,Attack,Single,V1072,1641256390693,Albert
1201,Amitie ver. Mukku,アミティ ver.ムック,Red,,Attack,Single,V1010,1641256392462,Amitie ver. Mukku
1215,Amitie ver. PuyoChron,アミティ ver.ぷよクロ,Red,,Attack,Single,V1010,1641256392959,Amitie ver. PuyoChron
1230,Amitie ver. PuyoTet,アミティ ver.ぷよテト,Red,,Attack,Single,V1010,1641256393214,Amitie ver. PuyoTet
1339,Amitie ver. Witch Apprentice,アミティ ver.魔女見習い,Red,,Recover,Single,V1010,1641256393846,Amitie ver. Witch Apprentice
1280,Ann Takamaki,高巻杏,Red,,Attack,Single,V1280,1641256394419,Ann Takamaki
1025,Archan,アーちゃん,Red,,Recover,Single,,1641256395097,Archan
1267,Asuka,アスカ,Red,,Balance,Single,,1641256395614,Asuka
1268,Asuka ver. Plugsuit,アスカ ver.プラグスーツ,Red,,Attack,Single,,1641256395994,Asuka ver. Plugsuit
1112,Chamali,カマリ,Red,Green,Attack,Single,V1112,1641256396771,Chamali
4402,Dancing Star Suketoudara,ダンシングスターすけとうだら,Yellow,Red,Attack,Single,V1006,1641256398877,Dancing Star Suketoudara
4301,ChainChron Hero,チェンクロ主人公,Yellow,Red,Balance,Single,V4301,1641256399224,ChainChron Hero
1043,Chef Klug,コック姿のクルーク,Red,,HP,Single,V5010,1641256399571,Chef Klug
1039,Chef Lemres,コック姿のレムレス,Red,,Attack,Single,V3018,1641256399748,Chef Lemres
1120,Cheo,チェオ,Red,,Balance,Single,,1641256399925,Cheo
1400,Chibiusa ver. Opposite Orb,ちびうさ ver.逆玉,Red,,Balance,Single,V1400,1641256400285,Chibiusa ver. Opposite Orb
1204,Coffee Shop Amitie,喫茶店のアミティ,Red,,Attack,Single,V1010,1641256401744,Coffee Shop Amitie
1142,Congardo,コンガルド,Red,,HP,Single,,1641256402103,Congardo
1239,Culprit,犯人,Red,,Balance,Single,,1641256402791,Culprit
1132,Dini,ディニ,Red,,Attack,Single,V1132,1641256403841,Dini
1405,Cure Dream,キュアドリーム,Red,Purple,Attack,Single,V1405,1678504492856,Cure Dream
1237,Conan Edogawa,江戸川コナン,Red,,Balance,Single,V1237,1659536258482,Conan Edogawa
1183,Dekabot,デカボ,Red,,,,,1666695265934,Dekabot/Red
1345,Charmy Draco,チャーミードラコ,Red,Green,Recover,Single,V3012,1666754666641,Charmy Draco
1100,Bodamaru,ボダマル,Red,,Attack,Single,,1673567846441,Bodamaru
1417,Al,アル,Red,,Attack,Single,V1417,1673567846965,Al
1125,Chetta,チェッタ,Red,Blue,Attack,Single,V1125,1673648251091,Chetta
1131,Dogg,ドグ,Red,,Balance,Single,,1682804194454,Dogg
1165,Azzawia,アザウィア,Red,Green,Recover,Single,V1165,1694156726620,Azzawia
1225,Crabmeat,ガニガニ,Red,,Balance,Single,,1701998456336,Crabmeat
1322,Amitie ver. PowerPros,アミティ ver.パワプロ,Red,,Attack,Single,,1686142803998,Amitie ver. PowerPros
1344,Dingnified Shizunagi,リンとしたシズナギ,Red,Blue,HP,Single,V2262,1702908250330,Dingnified Shizunagi
4003,Gold Chulap,ゴールドチューラップ,Yellow,,Balance,Single,,1706827140958,Chulap/Yellow
1005,Beniiro Chagama,べにいろチャガマ,Red,,Attack,Single,,1706472475354,Chagama/Red
4707,Golden Paprisu,きんぴかパプリス,Yellow,,Balance,Single,,1686227415633,Golden Paprisu/Yellow
1062,Abalin,アバリン,Red,,Attack,Single,,1686318641031,Abalin
1094,Annie,アニー,Red,,Recover,Single,,1702586011346,Annie
1081,Celebration Paprisu,お祝いパプリス,Red,,Balance,Single,,1686271828309,Celebration Paprisu/Red
1271,Asukarisu,アスカリス,Red,,Balance,Single,,1686271828423,Asukarisu
1017,Baromett,バロメッツ,Red,,HP,Single,V1017,1707773585569,Baromett
1330,Clarisu,くらリス,Red,,Balance,Single,,1686271828601,Clarisu/Red
1030,Dapper Bones,おしゃれコウベ,Red,,HP,Single,V1030,1686573670116,Dapper Bones
1129,Aidan,エーダン,Red,,Balance,Single,V1129,1699224299230,Aidan
5038,Lovestruck Feli,恋するフェーリ,Purple,,Attack,Single,V5018,1686573668424,Lovestruck Feli
1097,Clemens,クレメンス,Red,,Balance,Single,,1705773983587,Clemens
1155,Darjeelia,ダージリア,Red,,Recover,Single,,1704151708817,Darjeelia
4007,Fukurou,ふくろう,Yellow,,HP,Single,,1710179170501,Fukurou
1105,Ander,アンデル,Red,,Balance,Single,,1710443876409,Ander
4053,Fruitina,フルーティーナ,Yellow,,Recover,Single,,1710191779080,Fruitina
5391,Kotaro Katsura,桂小太郎,Purple,Yellow,HP,Single,V5391,1693760670152,Kotaro Katsura
1141,Cocoruco,ココルコ,Red,,HP,Single,,1691334646551,Cocoruco
